PEDOT-HTL (L1)>>thickness,PEDOT-HTL (L1)>>band gap,PEDOT-HTL (L1)>>electron affinity,N-CS2AgBiBr6 (L2)>>thickness,N-CS2AgBiBr6 (L2)>>band gap,N-CS2AgBiBr6 (L2)>>electron affinity,P-CsPb(I0.6Br0.4)3 (L3)>>thickness,P-CsPb(I0.6Br0.4)3 (L3)>>band gap,P-CsPb(I0.6Br0.4)3 (L3)>>electron affinity,Voc,Jsc,FF,eta,V_MPP,J_MPP,source_file
0.3168,1.762,3.741,0.7502,2.07,3.656,0.4455,2.061,3.889,1.449515,16.74573902,78.0209,18.9382,1.320652,14.34001119,part1_cleaned.csv
0.4981,1.379,3.786,0.4412,1.804,3.766,0.6297,1.892,3.665,1.333663,30.1744286,38.8186,15.6216,1.190458,13.12233675,part1_cleaned.csv
0.2068,1.729,3.412,0.9224,1.91,3.726,0.8227,1.697,3.762,1.563641,21.23041705,79.4021,26.3589,1.380932,19.08778023,part1_cleaned.csv
0.1602,1.237,3.444,0.9058,1.858,3.81,0.9911,1.808,3.869,1.560177,28.28137561,66.066,29.1509,1.163888,25.04615623,part1_cleaned.csv
0.1492,1.778,3.709,0.8627,1.903,3.67,0.8041,2.042,3.661,1.506348,17.00055189,53.5587,13.7157,1.370639,10.00679381,part1_cleaned.csv
0.5392,1.46,3.527,0.6201,2.217,3.838,0.4181,1.641,3.805,1.469032,7.81770457,70.7135,8.1211,1.353003,6.00225216,part1_cleaned.csv
0.2468,1.739,3.594,0.3209,1.92,3.848,0.3338,1.915,3.794,1.488891,17.65087023,80.5803,21.1767,1.353647,15.6441725,part1_cleaned.csv
0.1692,1.402,3.501,0.2396,1.855,3.669,0.9348,1.829,3.909,1.528418,24.52829378,84.2473,31.5839,1.395718,22.62913871,part1_cleaned.csv
0.1395,1.295,3.422,0.7684,2.037,3.674,0.9056,1.908,3.808,1.584893,24.84888135,70.2351,27.6606,1.263405,21.89366201,part1_cleaned.csv
0.5483,1.24,3.413,0.503,2.069,3.621,0.4901,1.766,3.686,1.608707,34.74231364,57.8819,32.3503,1.062834,30.43778754,part1_cleaned.csv
0.4765,1.212,3.718,0.7543,1.932,3.667,0.8481,2.032,3.688,1.384157,29.12198487,34.0141,13.7109,1.246248,11.00171264,part1_cleaned.csv
0.2694,1.224,3.646,0.3709,1.908,3.841,0.7383,1.994,3.675,1.392611,31.60455955,83.9093,36.9309,1.252542,29.48474992,part1_cleaned.csv
0.08502,1.612,3.598,0.9098,1.981,3.738,0.4869,2.027,3.875,1.436651,16.77462182,82.5537,19.8949,1.311113,15.17401421,part1_cleaned.csv
0.3606,1.573,3.537,0.2023,2.301,3.819,1.066,1.96,3.948,1.466166,22.50024655,60.1381,19.839,1.120083,17.71208596,part1_cleaned.csv
0.06857,1.527,3.453,0.9525,2.149,3.616,0.2239,2.093,3.679,1.564761,15.36921203,81.8832,19.6922,1.440895,13.66664118,part1_cleaned.csv
0.5837,1.403,3.674,0.7817,2.258,3.839,0.8704,1.799,3.974,1.337815,14.66566869,69.0393,13.5455,1.171584,11.56167793,part1_cleaned.csv
0.2962,1.219,3.534,0.3535,1.817,3.977,0.9036,1.926,3.735,1.519938,32.52345037,70.7413,34.97,1.192014,29.33688876,part1_cleaned.csv
0.464,1.662,3.775,0.7237,2.257,3.884,0.9228,1.963,3.924,1.3768,18.95695066,76.4392,19.9506,1.240507,16.08259124,part1_cleaned.csv
0.2787,1.617,3.54,0.3249,2.282,3.958,0.5931,1.876,3.984,1.447018,15.18438756,55.1334,12.114,1.007054,12.02910906,part1_cleaned.csv
0.05197,1.287,3.558,0.5035,1.934,3.878,0.2337,1.619,3.846,1.413505,22.22662748,61.6563,19.3708,1.003613,19.30109771,part1_cleaned.csv
0.2819,1.211,3.541,0.9343,2.185,3.839,0.8127,2.004,3.796,1.482913,32.0773786,66.2754,31.5259,1.114993,28.27451393,part1_cleaned.csv
0.3776,1.462,3.479,0.4637,2.334,3.694,0.8674,1.702,3.782,1.50727,5.65231125,68.4519,5.8318,1.389733,4.19634903,part1_cleaned.csv
0.4326,1.761,3.429,0.9554,1.963,3.898,0.6719,1.796,3.808,1.59623,19.37097994,77.5885,23.9908,1.410755,17.00563254,part1_cleaned.csv
