model,target,R2,RMSE,MAE,Accuracy
XGBoost,FF,0.7929601990668012,5.792020944195967,3.3021756757767475,0.8825136612021858
RandomForest,FF,0.7920686529481534,5.804478226836786,3.1735186001823554,0.8743169398907104
KNeighborsRegressor,FF,0.4949327123003555,9.046442422186983,5.665840491803278,0.7663934426229508
GradientBoosting,FF,0.4830579445954202,9.152171202913985,6.194785152432371,0.744535519125683
RidgeRegression,FF,0.1406640057607237,11.800073282966197,8.256707957738456,0.6543715846994536
LinearRegression,FF,0.1406601837049528,11.80009952444121,8.256755834008146,0.6543715846994536
XGBoost,Jsc,0.8448851836385363,2.6518697237690994,1.5691294940665363,0.7226775956284153
RandomForest,Jsc,0.8203962083227253,2.853535592963673,1.7393720834463928,0.6816939890710383
GradientBoosting,Jsc,0.6690520160442834,3.873516528181794,2.8793983274176913,0.5095628415300546
KNeighborsRegressor,Jsc,0.577670605411043,4.375736871374928,3.044022008076503,0.5314207650273224
RidgeRegression,Jsc,0.39609302012194225,5.23251603725911,4.143560756480866,0.3114754098360656
LinearRegression,Jsc,0.3960765428768308,5.232587419826358,4.1436218510525755,0.3114754098360656
XGBoost,Voc,0.7372312856278593,0.10064684187241586,0.03844597988594556,0.9699453551912568
RandomForest,Voc,0.6401249549418522,0.11778478405053863,0.04354569392208972,0.9494535519125683
GradientBoosting,Voc,0.4433983087834614,0.14648244646633568,0.06267390065369458,0.9439890710382514
KNeighborsRegressor,Voc,0.3268005843400996,0.16109616024769433,0.06196644590163935,0.9275956284153005
RidgeRegression,Voc,0.2352221628123624,0.17170422071643968,0.07735142983881461,0.9043715846994536
LinearRegression,Voc,0.23521738643881607,0.171704756899745,0.07735933478974177,0.9043715846994536
XGBoost,eta,0.8684198013468736,2.8830133273540497,1.8058641859311224,0.6939890710382514
RandomForest,eta,0.8433198046411441,3.145997935829895,1.93920812578182,0.6721311475409836
GradientBoosting,eta,0.6892293070739525,4.430690450888578,3.3909893798889286,0.453551912568306
KNeighborsRegressor,eta,0.5982347798707903,5.037760887020649,3.5889586065573766,0.5027322404371585
RidgeRegression,eta,0.3844183395650487,6.235829289101253,5.115422730360743,0.2459016393442623
LinearRegression,eta,0.38439329732016914,6.235956126518602,5.115502768450168,0.2459016393442623
XGBoost,overall,0.8108741174200176,2.856887709297883,1.6789038339150881,0.8172814207650273
RandomForest,overall,0.7739774052134687,2.980449134920223,1.7239111258331645,0.7943989071038252
GradientBoosting,overall,0.5711843941242793,4.400715157112673,3.1319616900981715,0.6629098360655737
KNeighborsRegressor,overall,0.4994096704805721,4.655259085207564,3.0901968880846993,0.6820355191256832
RidgeRegression,overall,0.2890993820650193,5.8600307075107505,4.398260718604719,0.5290300546448088
LinearRegression,overall,0.2890868525851922,5.860086956921479,4.398309947075158,0.5290300546448088
